title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Rolstoelvriendelijk Premium cottage,€479,€689,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,65 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"25-05-2023, 11:27:33",210,30
Premium cottage,€719,€1139,6 pers.,3 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,89 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"25-05-2023, 11:27:34",420,36
Premium cottage,€189,€269,2 pers.,1 Slaapkamer,Van wo. 28 tot vr. 30 jun.,40 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:34",80,29
VIP cottage,€249,€319,2 pers.,1 Slaapkamer,Van wo. 28 tot vr. 30 jun.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:35",70,21
Comfort cottage,€279,€379,8 pers.,4 Slaapkamers,Van wo. 7 tot vr. 9 jun.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:35",100,26
Comfort cottage,€299,€319,8 pers.,4 Slaapkamers,Van wo. 14 tot vr. 16 jun.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:36",20,6
VIP cottage,€309,€449,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:37",140,31
VIP cottage,€359,€519,6 pers.,3 Slaapkamers,Van wo. 14 tot vr. 16 jun.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:37",160,30
Premium cottage,€389,€559,8 pers.,4 Slaapkamers,Van wo. 7 tot vr. 9 jun.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:38",170,30
VIP cottage,€479,€729,8 pers.,4 Slaapkamers,Van wo. 21 tot vr. 23 jun.,93 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:38",250,34
Premium cottage,€649,€1019,12 pers.,6 Slaapkamers,Van wo. 21 tot vr. 23 jun.,131 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:39",370,36
Premium cottage,€769,€1219,14 pers.,7 Slaapkamers,Van wo. 21 tot vr. 23 jun.,171 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:40",450,36
Premium cottage,€1239,€1369,18 pers.,9 Slaapkamers,Van wo. 31 mei. tot vr. 2 jun.,211 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:27:40",130,9
VIP cottage Vernieuwd,€379,€569,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,66m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:27:41",190,33
VIP cottage Vernieuwd,€429,€519,2 pers.,1 Slaapkamer,Van wo. 28 tot vr. 30 jun.,64m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:27:41",90,17
Dieren in het bos cottage,€479,€739,4 pers.,2 Slaapkamers,Van wo. 28 tot vr. 30 jun.,64m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:27:42",260,35
VIP cottage Vernieuwd,€519,€709,6 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,103m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:27:43",190,26
Premium cottage Vernieuwd,€589,€979,8 pers.,4 Slaapkamers,Van di. 20 tot do. 22 jun.,103m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:27:43",390,39
Pony cottage Vernieuwd,€659,€999,5 pers.,3 Slaapkamers,Van ma. 19 tot vr. 23 jun.,64m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:27:44",340,34
Comfort cottage,€379,€529,8 pers.,4 Slaapkamers,Van wo. 28 tot vr. 30 jun.,85 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"25-05-2023, 11:27:44",150,28
VIP Lakeside cottage,€429,€689,6 pers.,3 Slaapkamers,Van ma. 5 tot wo. 7 jun.,100 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"25-05-2023, 11:27:45",260,37
Premium cottage,449€,,8 pers.,4 Slaapkamers,Van wo. 21 tot vr. 23 jun.,85 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"25-05-2023, 11:27:46",0,0
VIP cottage,€479,€729,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"25-05-2023, 11:27:46",250,34
VIP cottage,€539,€779,2 pers.,1 Slaapkamer,Van za. 1 tot ma. 3 jul.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"25-05-2023, 11:27:47",240,30
Premium cottage,639€,,12 pers.,6 Slaapkamers,Van ma. 19 tot wo. 21 jun.,132 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"25-05-2023, 11:27:47",0,0
VIP cottage,€899,€1349,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,85 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"25-05-2023, 11:27:48",450,33
VIP cottage,€619,€669,2 pers.,1 Slaapkamer,Van vr. 30 jun. tot zo. 2 jul.,58 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:48",50,7
VIP cottage,€649,€869,8 pers.,4 Slaapkamers,Van ma. 26 tot wo. 28 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:49",220,25
